RowLabels,\tau,\sigma_{A},\sigma_{V},c,\lambda,p_{common},\alpha,\sigma_{C=2}
S1,-46.742,47.167,70.861,87.248,0.005,0.37,0.006,224.29
S2,12.773,93.651,86.062,171.569,0.008,0.606,0.005,259.272
S3,-5.217,83.871,115.035,110.185,0.052,0.206,0.015,277.807
S4,27.974,90.691,65.922,90.698,0.049,0.62,0.004,260.714
S5,-9.782,42.886,64.586,76.535,0.027,0.293,0.008,228.537
S6,-32.935,68.646,62.431,87.79,0.051,0.805,0.003,225.466
S7,-0.824,65.101,76.528,71.106,0.018,0.386,0.009,248.988
S8,17.116,32.349,43.568,47.428,0.014,0.924,0.002,349.234
Mean,-4.705,65.545,73.124,92.82,0.028,0.526,0.006,259.289
S.E.,8.919,8.152,7.384,12.929,0.007,0.09,0.002,14.55
Lower bound,-200,10,10,1,0,0,0,200
Upper bound,200,150,150,350,0.06,1,0.02,550
