RowLabels,\tau,\sigma_{A},\sigma_{V},c,\lambda,p_{common},\alpha
S1,-57.653,50.502,71.723,58.418,0.005,0.707,0.002
S2,14.915,96.635,88.6,84.465,0.008,0.876,0.003
S3,1.634,93.896,134.156,113.282,0.047,0.172,0.017
S4,35.279,97.109,67.12,57.342,0.046,0.815,0.002
S5,-11.608,43.853,63.409,71.696,0.027,0.316,0.006
S6,-36.074,61.852,69.847,97.728,0.051,0.71,0.004
S7,1.591,65.168,77.314,74.805,0.018,0.284,0.012
S8,17.461,31.712,43.224,47.327,0.014,0.932,0.002
Mean,-4.307,67.591,76.924,75.633,0.027,0.602,0.006
S.E.,10.681,9.052,9.358,7.829,0.007,0.105,0.002
Lower bound,-200,10,10,1,0,0,0
Upper bound,200,200,200,350,0.06,1,0.02
