MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> Number of cores: 20  
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 19).
[] Start fitting sub-1 run-1 
[] Start fitting sub-1 run-2 
[] Start fitting sub-1 run-3 
[] Start fitting sub-1 run-4 
[] Start fitting sub-1 run-5 
[] Start fitting sub-1 run-6 
[] Start fitting sub-1 run-7 
[] Start fitting sub-1 run-8 
[] Start fitting sub-1 run-9 
[] Start fitting sub-1 run-10 
[] Start fitting sub-1 run-11 
[] Start fitting sub-1 run-12 
[] Start fitting sub-1 run-13 
[] Start fitting sub-1 run-14 
[] Start fitting sub-1 run-15 
[] Start fitting sub-1 run-16 
[] Start fitting sub-1 run-17 
[] Start fitting sub-1 run-18 
[] Start fitting sub-1 run-19 
[] Start fitting sub-1 run-57 
[] Start fitting sub-1 run-25 
[] Start fitting sub-1 run-51 
[] Start fitting sub-1 run-55 
[] Start fitting sub-1 run-43 
[] Start fitting sub-1 run-29 
[] Start fitting sub-1 run-35 
[] Start fitting sub-1 run-39 
[] Start fitting sub-1 run-45 
[] Start fitting sub-1 run-21 
[] Start fitting sub-1 run-53 
[] Start fitting sub-1 run-33 
[] Start fitting sub-1 run-41 
[] Start fitting sub-1 run-27 
[] Start fitting sub-1 run-47 
[] Start fitting sub-1 run-37 
[] Start fitting sub-1 run-23 
[] Start fitting sub-1 run-49 
[] Start fitting sub-1 run-31 
[] Start fitting sub-1 run-56 
[] Start fitting sub-1 run-24 
[] Start fitting sub-1 run-50 
[] Start fitting sub-1 run-32 
[] Start fitting sub-1 run-42 
[] Start fitting sub-1 run-54 
[] Start fitting sub-1 run-44 
[] Start fitting sub-1 run-38 
[] Start fitting sub-1 run-34 
[] Start fitting sub-1 run-52 
[] Start fitting sub-1 run-26 
[] Start fitting sub-1 run-48 
[] Start fitting sub-1 run-36 
[] Start fitting sub-1 run-28 
[] Start fitting sub-1 run-46 
[] Start fitting sub-1 run-60 
[] Start fitting sub-1 run-70 
[] Start fitting sub-1 run-20 
[] Start fitting sub-1 run-40 
[] Start fitting sub-1 run-22 
[] Start fitting sub-1 run-30 
[] Start fitting sub-1 run-58 
[] Start fitting sub-1 run-59 
[] Start fitting sub-1 run-62 
[] Start fitting sub-1 run-65 
[] Start fitting sub-1 run-61 
[] Start fitting sub-1 run-66 
[] Start fitting sub-1 run-71 
[] Start fitting sub-1 run-77 
[] Start fitting sub-1 run-73 
[] Start fitting sub-1 run-75 
[] Start fitting sub-1 run-69 
[] Start fitting sub-1 run-76 
[] Start fitting sub-1 run-67 
[] Start fitting sub-1 run-64 
[] Start fitting sub-1 run-74 
[] Start fitting sub-1 run-63 
[] Start fitting sub-1 run-72 
[] Start fitting sub-1 run-78 
[] Start fitting sub-1 run-68 
[] Start fitting sub-1 run-80 
[] Start fitting sub-1 run-79 
[] Start fitting sub-2 run-1 
[] Start fitting sub-2 run-2 
[] Start fitting sub-2 run-3 
[] Start fitting sub-2 run-4 
[] Start fitting sub-2 run-5 
[] Start fitting sub-2 run-6 
[] Start fitting sub-2 run-7 
[] Start fitting sub-2 run-8 
[] Start fitting sub-2 run-9 
[] Start fitting sub-2 run-10 
[] Start fitting sub-2 run-11 
[] Start fitting sub-2 run-12 
[] Start fitting sub-2 run-13 
[] Start fitting sub-2 run-14 
[] Start fitting sub-2 run-15 
[] Start fitting sub-2 run-16 
[] Start fitting sub-2 run-17 
[] Start fitting sub-2 run-18 
[] Start fitting sub-2 run-19 
[] Start fitting sub-2 run-39 
[] Start fitting sub-2 run-27 
[] Start fitting sub-2 run-53 
[] Start fitting sub-2 run-45 
[] Start fitting sub-2 run-29 
[] Start fitting sub-2 run-51 
[] Start fitting sub-2 run-33 
[] Start fitting sub-2 run-35 
[] Start fitting sub-2 run-49 
[] Start fitting sub-2 run-57 
[] Start fitting sub-2 run-43 
[] Start fitting sub-2 run-37 
[] Start fitting sub-2 run-47 
[] Start fitting sub-2 run-23 
[] Start fitting sub-2 run-25 
[] Start fitting sub-2 run-21 
[] Start fitting sub-2 run-31 
[] Start fitting sub-2 run-41 
[] Start fitting sub-2 run-32 
[] Start fitting sub-2 run-55 
[] Start fitting sub-2 run-38 
[] Start fitting sub-2 run-52 
[] Start fitting sub-2 run-50 
[] Start fitting sub-2 run-44 
[] Start fitting sub-2 run-42 
[] Start fitting sub-2 run-34 
[] Start fitting sub-2 run-22 
[] Start fitting sub-2 run-26 
[] Start fitting sub-2 run-56 
[] Start fitting sub-2 run-48 
[] Start fitting sub-2 run-36 
[] Start fitting sub-2 run-64 
[] Start fitting sub-2 run-30 
[] Start fitting sub-2 run-24 
[] Start fitting sub-2 run-40 
[] Start fitting sub-2 run-28 
[] Start fitting sub-2 run-58 
[] Start fitting sub-2 run-46 
[] Start fitting sub-2 run-60 
[] Start fitting sub-2 run-63 
[] Start fitting sub-2 run-61 
[] Start fitting sub-2 run-20 
[] Start fitting sub-2 run-67 
[] Start fitting sub-2 run-71 
[] Start fitting sub-2 run-65 
[] Start fitting sub-2 run-69 
[] Start fitting sub-2 run-68 
[] Start fitting sub-2 run-66 
[] Start fitting sub-2 run-77 
[] Start fitting sub-2 run-54 
[] Start fitting sub-2 run-75 
[] Start fitting sub-2 run-72 
[] Start fitting sub-2 run-62 
[] Start fitting sub-2 run-70 
[] Start fitting sub-2 run-78 
[] Start fitting sub-2 run-59 
[] Start fitting sub-2 run-80 
[] Start fitting sub-2 run-74 
[] Start fitting sub-2 run-79 
[] Start fitting sub-2 run-73 
[] Start fitting sub-2 run-76 
[] Start fitting sub-3 run-1 
[] Start fitting sub-3 run-2 
[] Start fitting sub-3 run-3 
[] Start fitting sub-3 run-4 
[] Start fitting sub-3 run-5 
[] Start fitting sub-3 run-6 
[] Start fitting sub-3 run-7 
[] Start fitting sub-3 run-8 
[] Start fitting sub-3 run-9 
[] Start fitting sub-3 run-10 
[] Start fitting sub-3 run-11 
[] Start fitting sub-3 run-12 
[] Start fitting sub-3 run-13 
[] Start fitting sub-3 run-14 
[] Start fitting sub-3 run-15 
[] Start fitting sub-3 run-16 
[] Start fitting sub-3 run-17 
[] Start fitting sub-3 run-18 
[] Start fitting sub-3 run-19 
[] Start fitting sub-3 run-33 
[] Start fitting sub-3 run-47 
[] Start fitting sub-3 run-53 
[] Start fitting sub-3 run-45 
[] Start fitting sub-3 run-51 
[] Start fitting sub-3 run-39 
[] Start fitting sub-3 run-37 
[] Start fitting sub-3 run-35 
[] Start fitting sub-3 run-49 
[] Start fitting sub-3 run-41 
[] Start fitting sub-3 run-25 
[] Start fitting sub-3 run-27 
[] Start fitting sub-3 run-57 
[] Start fitting sub-3 run-21 
